date;% WEIGHTED ILI;%UNWEIGHTED ILI;AGE 0-4;AGE 5-24;ILITOTAL;NUM. OF PROVIDERS;OT;week;month;quarter;year
2004-11-16;0.7473609999999999;0.615903;330;326;928;480;150673;47;11;4;2004
2004-11-23;0.673974;0.609426;292;311;922;428;151290;48;11;4;2004
2004-11-30;0.869662;0.6802590000000001;342;367;1033;420;151854;49;11;4;2004
2004-12-07;0.8995290000000001;0.7754880000000001;338;396;1061;416;136817;50;12;4;2004
2004-12-14;0.854635;0.6834210000000001;302;383;1026;408;150127;51;12;4;2004
2004-12-21;1.01123;0.781075;368;516;1219;419;156067;52;12;4;2004
2004-12-28;0.977808;0.8069430000000001;381;484;1204;447;149205;53;12;4;2004
2005-01-04;1.1777799999999998;1.07635;1172;1256;3586;1113;333164;1;1;1;2005
2005-01-11;1.21947;1.05869;1285;1247;3582;1160;338343;2;1;1;2005
2005-01-18;1.3069;1.11523;1393;1525;4122;1216;369609;3;1;1;2005
2005-01-25;1.33931;1.12381;1439;1599;4248;1237;377999;4;1;1;2005
2005-02-01;1.58374;1.25489;1639;1894;5005;1280;398840;5;2;1;2005
2005-02-08;1.47072;1.33661;1563;1929;5038;1272;376924;6;2;1;2005
2005-02-15;1.6112;1.37864;1679;1951;5276;1277;382697;7;2;1;2005
2005-02-22;1.82699;1.60829;1666;1593;4802;1301;298578;8;2;1;2005
2005-03-01;1.77482;1.48311;1858;2176;5966;1325;402264;9;3;1;2005
2005-03-08;1.94451;1.6537400000000002;1987;2463;6371;1328;385248;10;3;1;2005
2005-03-15;2.35512;2.00679;2241;3063;7697;1318;383548;11;3;1;2005
2005-03-22;3.10878;2.56857;2696;3058;8577;1287;333921;12;3;1;2005
2005-03-29;3.2823800000000003;3.05278;2678;2561;8842;1273;289638;13;3;1;2005
2005-04-05;2.62914;2.42504;2422;2366;8339;1319;343871;14;4;2;2005
2005-04-12;2.2515;2.00195;2272;2921;7882;1339;393716;15;4;2;2005
2005-04-19;2.35858;2.0586900000000004;2249;3150;7858;1297;381699;16;4;2;2005
2005-04-26;2.41881;2.21277;2643;3646;9114;1331;411882;17;4;2;2005
2005-05-03;2.52752;2.3222;2612;4153;9551;1320;411291;18;5;2;2005
2005-05-10;2.64954;2.4927900000000003;2754;4593;10427;1311;418286;19;5;2;2005
2005-05-17;3.12935;2.79489;2624;4979;11226;1288;401661;20;5;2;2005
2005-05-24;3.12442;2.96911;2753;5284;11901;1288;400827;21;5;2;2005
2005-05-31;3.13099;2.8395900000000003;2579;5008;11343;1275;399459;22;5;2;2005
2005-06-07;3.08261;2.77799;2564;5106;11261;1257;405365;23;6;2;2005
2005-06-14;2.64431;2.47287;2330;4154;9322;1241;376971;24;6;2;2005
2005-06-21;2.42295;2.18061;1895;3709;8064;1217;369804;25;6;2;2005
2005-06-28;2.31141;2.0168;1697;3393;7313;1165;362605;26;6;2;2005
2005-07-05;1.86383;1.64101;1437;2660;5738;1133;349662;27;7;3;2005
2005-07-12;1.44943;1.35829;1181;2014;4547;1087;334760;28;7;3;2005
2005-07-19;1.30227;1.1428;959;1479;3550;1045;310641;29;7;3;2005
2005-07-26;1.13459;1.04031;836;1382;3177;1017;305389;30;7;3;2005
2005-08-02;1.06255;0.964347;745;1208;2780;958;288278;31;8;3;2005
2005-08-09;1.03428;0.937982;745;1039;2592;919;276338;32;8;3;2005
2005-08-16;1.01791;0.947449;715;969;2428;877;256267;33;8;3;2005
2005-08-23;0.918151;0.891918;699;764;2061;783;231075;34;8;3;2005
2005-08-30;0.93099;0.864643;572;561;1645;649;190252;35;8;3;2005
2005-09-06;0.857294;0.97032;754;626;2075;635;213847;36;9;3;2005
2005-09-13;0.7862939999999999;0.84439;514;447;1430;615;169353;37;9;3;2005
2005-09-20;0.719426;0.77487;463;409;1300;610;167770;38;9;3;2005
2005-09-27;0.7188680000000001;0.8213719999999999;466;390;1271;572;154741;39;9;3;2005
2005-10-04;0.774807;0.8727450000000001;437;402;1215;565;139216;40;10;4;2005
2005-10-11;0.76598;0.922635;549;511;1617;577;175259;41;10;4;2005
2005-10-18;0.642809;0.899487;541;440;1553;564;172654;42;10;4;2005
2005-10-25;0.622033;0.843082;502;403;1455;564;172581;43;10;4;2005
2005-11-01;0.616326;0.8818239999999999;508;430;1428;551;161937;44;11;4;2005
2005-11-08;0.6856939999999999;0.817145;473;435;1373;547;168024;45;11;4;2005
2005-11-15;0.6226970000000001;0.8715;510;466;1457;536;167183;46;11;4;2005
2005-11-22;0.611817;0.738621;404;379;1138;503;154071;47;11;4;2005
2005-11-29;0.638831;0.797966;398;457;1224;488;153390;48;11;4;2005
2005-12-06;0.8066270000000001;1.01394;492;506;1463;491;144289;49;12;4;2005
2005-12-13;0.7624479999999999;0.880936;446;521;1406;487;159603;50;12;4;2005
2005-12-20;0.8134060000000001;0.943366;511;534;1487;455;157627;51;12;4;2005
2005-12-27;0.807934;0.891546;476;512;1433;469;160732;52;12;4;2005
2006-01-03;1.15384;1.2032200000000002;1434;1699;4513;1323;375076;1;1;1;2006
2006-01-10;1.14819;1.05788;1278;1602;4072;1361;384920;2;1;1;2006
2006-01-17;1.22736;1.13054;1543;1830;4737;1425;419005;3;1;1;2006
2006-01-24;1.21744;1.12552;1582;1996;4888;1445;434287;4;1;1;2006
2006-01-31;1.32813;1.2080799999999998;1672;2270;5380;1473;445334;5;1;1;2006
2006-02-07;1.47754;1.34952;2112;2393;6139;1497;454901;6;2;1;2006
2006-02-14;1.5339;1.4689;2355;2681;6668;1474;453945;7;2;1;2006
2006-02-21;1.91269;1.82767;2188;2202;6156;1488;336822;8;2;1;2006
2006-02-28;1.838;1.6656;2573;2792;7530;1486;452089;9;2;1;2006
2006-03-07;1.95376;1.85968;2643;3244;8122;1493;436741;10;3;1;2006
2006-03-14;2.40407;2.38891;3270;4470;10396;1492;435177;11;3;1;2006
2006-03-21;2.87453;2.78978;3387;4065;10192;1435;365334;12;3;1;2006
2006-03-28;3.02597;3.1154900000000003;3243;2868;8913;1359;286087;13;3;1;2006
2006-04-04;2.37817;2.26942;2927;2481;8386;1490;369521;14;4;2;2006
2006-04-11;2.09232;1.86355;2507;2756;7761;1467;416464;15;4;2;2006
2006-04-18;2.29396;1.99986;2548;3248;7909;1470;395477;16;4;2;2006
2006-04-25;2.74501;2.4406;3410;4684;10888;1495;446119;17;4;2;2006
2006-05-02;3.04434;2.83018;3456;5648;12120;1472;428241;18;5;2;2006
2006-05-09;3.49999;3.12343;3840;6995;14197;1484;454533;19;5;2;2006
2006-05-16;3.57851;3.27019;3879;6668;14031;1461;429057;20;5;2;2006
2006-05-23;3.28979;3.17757;3728;6537;14048;1460;442099;21;5;2;2006
2006-05-30;2.89149;2.72364;3016;5429;11801;1428;433281;22;5;2;2006
2006-06-06;2.62075;2.50201;2798;4937;10715;1408;428255;23;6;2;2006
2006-06-13;2.5338700000000003;2.4272;2668;4031;9597;1361;395394;24;6;2;2006
2006-06-20;2.07251;1.96041;2049;3307;7562;1333;385735;25;6;2;2006
2006-06-27;1.87084;1.5914;1664;2508;6148;1303;386327;26;6;2;2006
2006-07-04;1.40042;1.36978;1445;1803;4958;1284;361955;27;7;3;2006
2006-07-11;1.46887;1.36317;1429;1821;4869;1240;357183;28;7;3;2006
2006-07-18;1.15514;1.1737;1257;1523;4179;1206;356055;29;7;3;2006
2006-07-25;1.07901;1.06358;1152;1386;3695;1152;347413;30;7;3;2006
2006-08-01;0.98492;0.969711;969;1143;3077;1119;317311;31;8;3;2006
2006-08-08;1.03325;0.965362;917;1055;2860;1057;296262;32;8;3;2006
2006-08-15;0.926649;0.856749;815;861;2442;1025;285031;33;8;3;2006
2006-08-22;0.9201;0.863346;761;785;2243;925;259803;34;8;3;2006
2006-08-29;0.954094;0.93537;722;652;2058;831;220020;35;8;3;2006
2006-09-05;0.763278;0.7455689999999999;628;510;1679;796;225197;36;9;3;2006
2006-09-12;0.81722;0.740428;598;469;1614;771;217982;37;9;3;2006
2006-09-19;0.764586;0.6728970000000001;521;441;1456;749;216378;38;9;3;2006
2006-09-26;0.793127;0.6662819999999999;514;408;1455;742;218376;39;9;3;2006
2006-10-03;0.66909;0.662747;394;360;1169;711;176387;40;10;4;2006
2006-10-10;0.62115;0.545619;366;372;1086;697;199040;41;10;4;2006
2006-10-17;0.6036590000000001;0.5862310000000001;446;345;1211;698;206574;42;10;4;2006
2006-10-24;0.649058;0.660687;477;392;1356;691;205241;43;10;4;2006
2006-10-31;0.568338;0.534093;321;311;1037;677;194161;44;10;4;2006
2006-11-07;0.651546;0.585549;389;385;1172;667;200154;45;11;4;2006
2006-11-14;0.652176;0.618075;439;411;1283;666;207580;46;11;4;2006
2006-11-21;0.8038489999999999;0.687465;495;457;1448;671;210629;47;11;4;2006
2006-11-28;0.787458;0.715696;502;500;1526;652;213219;48;11;4;2006
2006-12-05;0.943263;0.829313;519;545;1554;641;187384;49;12;4;2006
2006-12-12;0.946932;0.800912;496;682;1694;638;211509;50;12;4;2006
2006-12-19;0.987146;0.918484;609;681;1913;632;208278;51;12;4;2006
2006-12-26;1.05206;0.8142590000000001;729;788;2228;703;273623;52;12;4;2006
2007-01-02;0.995184;1.07197;2187;1997;5641;1373;526227;1;1;1;2007
2007-01-09;1.22003;1.21786;2387;2433;6444;1429;529126;2;1;1;2007
2007-01-16;1.28548;1.24576;2583;2551;6941;1449;557172;3;1;1;2007
2007-01-23;1.3775;1.35984;2871;2788;7434;1477;546680;4;1;1;2007
2007-01-30;1.46725;1.44671;3074;2998;7915;1485;547104;5;1;1;2007
2007-02-06;1.55841;1.53286;3398;3303;8687;1539;566717;6;2;1;2007
2007-02-13;1.61958;1.6665299999999998;3563;3290;9104;1516;546284;7;2;1;2007
2007-02-20;1.8112;1.97488;3651;2631;8570;1523;433951;8;2;1;2007
2007-02-27;1.61865;1.67305;3679;3158;9171;1513;548159;9;2;1;2007
2007-03-06;1.62124;1.63405;3365;2907;8436;1487;516263;10;3;1;2007
2007-03-13;1.6735099999999998;1.74595;3298;2694;8091;1453;463416;11;3;1;2007
2007-03-20;1.95096;1.93643;3580;2724;8750;1420;451862;12;3;1;2007
2007-03-27;2.5001900000000004;2.48905;3848;2348;8902;1426;357646;13;3;1;2007
2007-04-03;2.43939;2.25405;3737;2568;9706;1486;430603;14;4;2;2007
2007-04-10;2.29319;2.09147;3393;3644;11115;1509;531444;15;4;2;2007
2007-04-17;2.62907;2.35934;3664;4900;12197;1511;516966;16;4;2;2007
2007-04-24;3.92966;3.32331;4289;7661;17171;1508;516683;17;4;2;2007
2007-05-01;4.99202;4.43381;5222;11974;24812;1514;559609;18;5;2;2007
2007-05-08;5.7776;5.34547;6059;15323;31896;1526;596692;19;5;2;2007
2007-05-15;5.98318;5.42258;6244;14336;31625;1518;583210;20;5;2;2007
2007-05-22;5.61677;5.303030000000001;5922;12783;30245;1497;570334;21;5;2;2007
2007-05-29;4.5323400000000005;4.24456;4978;9958;25027;1453;589626;22;5;2;2007
2007-06-05;3.83249;3.628;4420;7849;20254;1445;558269;23;6;2;2007
2007-06-12;3.21522;3.03463;3878;6112;16714;1412;550776;24;6;2;2007
2007-06-19;2.69245;2.53595;3153;4493;13040;1395;514205;25;6;2;2007
2007-06-26;2.03366;2.0573;2689;3395;10376;1379;504350;26;6;2;2007
2007-07-03;1.65275;1.7415;2372;2697;8583;1327;492850;27;7;3;2007
2007-07-10;1.3113;1.40652;2045;2354;7045;1318;500881;28;7;3;2007
2007-07-17;1.1652;1.26861;1857;2013;6079;1288;479187;29;7;3;2007
2007-07-24;1.02035;1.07719;1572;1713;4953;1208;459808;30;7;3;2007
2007-07-31;0.877607;0.993445;1466;1416;4224;1147;425187;31;7;3;2007
2007-08-07;0.8251069999999999;0.911212;1356;1381;4011;1098;440183;32;8;3;2007
2007-08-14;0.787315;0.972109;1439;1274;3904;1074;401601;33;8;3;2007
2007-08-21;0.805439;0.993258;1393;1116;3646;945;367075;34;8;3;2007
2007-08-28;0.8860610000000001;1.09132;1473;1083;3803;869;348477;35;8;3;2007
2007-09-04;0.743743;0.888446;1159;906;2933;789;330127;36;9;3;2007
2007-09-11;0.706842;0.887691;1113;886;2906;764;327366;37;9;3;2007
2007-09-18;0.655943;0.883187;1115;855;2842;755;321789;38;9;3;2007
2007-09-25;0.633492;0.8267559999999999;937;810;2534;730;306499;39;9;3;2007
2007-10-02;0.571837;0.783201;913;762;2405;713;307073;40;10;4;2007
2007-10-09;0.5582779999999999;0.78061;881;749;2431;710;311423;41;10;4;2007
2007-10-16;0.597893;0.769073;826;703;2319;696;301532;42;10;4;2007
2007-10-23;0.577222;0.721298;779;704;2166;694;300292;43;10;4;2007
2007-10-30;0.5969869999999999;0.7525270000000001;788;763;2289;676;304175;44;10;4;2007
2007-11-06;0.564653;0.752721;679;706;2220;668;294930;45;11;4;2007
2007-11-13;0.5856819999999999;0.792766;789;745;2368;657;298701;46;11;4;2007
2007-11-20;0.503985;0.743896;730;754;2237;657;300714;47;11;4;2007
2007-11-27;0.468139;0.814166;794;892;2429;636;298342;48;11;4;2007
2007-12-04;0.576455;0.8384010000000001;774;880;2461;666;293535;49;12;4;2007
2007-12-11;0.681361;0.851124;859;994;2788;685;327567;50;12;4;2007
2007-12-18;0.794764;1.10976;1062;1527;3735;679;336560;51;12;4;2007
2007-12-25;0.868116;1.03114;983;1306;3400;716;329731;52;12;4;2007
2008-01-01;1.06828;1.02284;1535;2352;5687;1435;555999;1;1;1;2008
2008-01-08;1.00756;1.03017;1861;2291;5959;1500;578446;2;1;1;2008
2008-01-15;0.979399;1.01245;1869;2219;5896;1525;582351;3;1;1;2008
2008-01-22;1.04943;1.08359;1976;2474;6485;1527;598473;4;1;1;2008
2008-01-29;1.13218;1.1657799999999998;2119;2547;6987;1545;599343;5;1;1;2008
2008-02-05;1.13156;1.1913;2276;2668;7297;1555;612526;6;2;1;2008
2008-02-12;1.15469;1.28075;2512;2854;7667;1555;598635;7;2;1;2008
2008-02-19;1.20448;1.27053;2600;2828;7733;1563;608646;8;2;1;2008
2008-02-26;1.36081;1.59578;3024;2412;7634;1523;478386;9;2;1;2008
2008-03-04;1.30322;1.4585;3114;2913;8708;1551;597052;10;3;1;2008
2008-03-11;1.30204;1.49921;3252;3024;8689;1543;579573;11;3;1;2008
2008-03-18;1.45109;1.62982;3137;2579;7812;1416;479318;12;3;1;2008
2008-03-25;1.79927;2.15561;3897;2367;8706;1484;403876;13;3;1;2008
2008-04-01;2.12134;2.02053;3814;2042;8603;1490;425780;14;4;2;2008
2008-04-08;1.47138;1.54566;3245;2548;8956;1539;579428;15;4;2;2008
2008-04-15;1.61555;1.64224;3142;3345;9289;1512;565631;16;4;2;2008
2008-04-22;1.95333;1.96524;3602;4597;11456;1566;582932;17;4;2;2008
2008-04-29;2.4290700000000003;2.34368;4039;6602;14324;1554;611176;18;4;2;2008
2008-05-06;2.96686;2.86057;4606;8882;18268;1580;638613;19;5;2;2008
2008-05-13;3.57354;3.3421;5064;11215;21667;1569;648304;20;5;2;2008
2008-05-20;3.3665300000000005;3.20566;4848;9851;20022;1543;624583;21;5;2;2008
2008-05-27;3.2962;3.10049;4694;10092;20450;1544;659573;22;5;2;2008
2008-06-03;3.17227;2.95819;4420;9116;18441;1534;623389;23;6;2;2008
2008-06-10;2.5804;2.46381;4046;7446;15711;1524;637672;24;6;2;2008
2008-06-17;2.42922;2.19272;3657;6036;13277;1494;605503;25;6;2;2008
2008-06-24;1.99028;1.87395;3237;5052;11400;1470;608342;26;6;2;2008
2008-07-01;1.72423;1.64817;2829;4283;9669;1440;586651;27;7;3;2008
2008-07-08;1.60355;1.49878;2577;3407;8460;1422;564460;28;7;3;2008
